index	0-9	10-19	120-129	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99
Nassau County, Florida, United States	False	False	False	False	False	False	True	True	True	False	False
Navajo County, Arizona, United States	False	False	False	False	False	True	False	True	False	False	False
Neijiang City, Sichuan, China	False	True	False	False	False	True	False	False	False	False	False
Nelson County, Kentucky, United States	False	False	False	False	False	False	True	False	False	False	False
Nemaha County, Nebraska, United States	False	False	False	False	False	False	False	True	False	False	False
New Castle County, Delaware, United States	False	False	False	False	False	False	True	False	False	False	False
Niagara, Ontario, Canada	False	False	False	False	False	False	True	False	False	True	False
Ningde City, Fujian, China	False	False	False	False	False	True	False	False	False	False	False
Norfolk County, Massachusetts, United States	False	False	False	True	False	False	False	False	False	False	False
Oakland County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
Oberhavel, Brandenburg, Germany	False	False	False	False	False	False	True	False	False	False	False
Okaloosa County, Florida, United States	False	False	False	True	True	True	True	True	True	True	False
Okhotsk, Hokkaido, Japan	False	False	False	False	True	False	False	False	True	False	False
Oklahoma County, Oklahoma, United States	False	False	False	False	False	False	False	True	False	False	False
Oldenburg (Kreisfreie Stadt), Lower Saxony, Germany	False	False	False	True	False	True	False	False	False	False	False
Olmsted County, Minnesota, United States	False	False	False	False	False	False	True	False	False	False	False
Orange County, California, United States	False	False	False	False	True	False	True	True	False	False	False
Orange County, Florida, United States	True	True	True	True	True	True	True	True	True	True	True
Orange County, Vermont, United States	False	False	False	False	False	False	False	True	False	False	False
Ordos City, Inner Mongolia, China	False	False	False	False	False	True	False	False	False	False	False
Ortenau District, Baden-Wurttemberg, Germany	False	True	False	False	False	False	True	False	False	False	False
Osceola County, Florida, United States	False	True	False	True	True	True	True	True	True	True	True
Ostalb District, Baden-Wurttemberg, Germany	False	False	False	False	True	True	False	False	False	False	False
Ottawa, Ontario, Canada	False	False	False	True	False	True	False	True	False	False	False
Oxford County, Maine, United States	False	False	False	False	False	False	True	False	False	False	False
Palm Beach County, Florida, United States	True	True	False	True	True	True	True	True	True	True	True
Pasco County, Florida, United States	False	False	False	True	True	True	True	True	True	False	False
Pearl River County, Mississippi, United States	False	False	False	False	False	False	False	True	False	False	False
Peel, Ontario, Canada	False	False	False	True	True	False	True	True	False	False	False
Peterborough, Ontario, Canada	False	False	False	False	True	False	False	False	False	False	False
Pierce County, Washington, United States	True	True	False	True	True	True	True	True	True	True	False
Pima County, Arizona, United States	False	False	False	False	False	False	False	True	False	False	False
Pinal County, Arizona, United States	False	False	False	False	True	True	False	False	False	True	False
Pinellas County, Florida, United States	False	True	False	True	True	True	True	True	True	True	False
Pingliang City, Gansu, China	True	False	False	True	True	False	True	False	False	False	False
Pitkin County, Colorado, United States	False	False	False	True	False	False	True	True	True	False	False
Polk County, Florida, United States	True	False	False	True	True	True	True	True	True	True	False
Prince George's County, Maryland, United States	False	False	False	False	False	False	False	True	False	False	False
Putnam County, Florida, United States	False	False	False	True	True	True	False	True	True	True	False
Qiandongnan Prefecture, Guizhou, China	False	False	False	True	False	False	True	False	False	False	False
Qiannan Prefecture, Guizhou, China	False	False	False	True	False	False	False	True	False	False	False
Qianxinan Prefecture, Guizhou, China	False	False	False	False	True	True	False	False	False	False	False
Qingyang City, Gansu, China	False	False	False	True	True	False	False	False	False	False	False
Qujing City, Yunnan, China	False	False	False	True	False	True	True	False	False	False	False
Ramsey County, Minnesota, United States	False	False	False	False	True	False	False	False	False	False	False
Ravensburg District, Baden-Wurttemberg, Germany	False	False	False	False	False	False	True	False	False	False	False
Reggio Emilia, Emilia-Romagna, Italy	False	False	False	True	False	False	False	False	False	False	False
Regionalverband Saarbrucken, Saarland, Germany	False	False	False	False	False	False	False	True	False	False	False
Rems-Murr District, Baden-Wurttemberg, Germany	False	True	False	False	False	True	True	False	False	False	False
Renville County, Minnesota, United States	False	False	False	False	True	False	False	False	False	False	False
Rhein-Neckar District, Baden-Wurttemberg, Germany	False	False	False	False	True	False	True	True	False	False	False
Rio Arriba County, New Mexico, United States	False	False	False	False	False	False	False	True	True	False	False
Rockingham County, New Hampshire, United States	False	False	False	True	False	False	False	False	False	False	False
Saale-Orla District, Thuringia, Germany	False	False	False	False	False	False	True	False	False	False	False
Saarpfalz District, Saarland, Germany	False	False	False	False	False	False	True	False	False	False	False
Sachsische Schweiz-Osterzgebirge, Saxony, Germany	False	False	False	False	False	False	False	True	False	False	False
Saint Clair County, Illinois, United States	False	False	False	False	False	False	False	True	True	False	False
Saint Johns County, Florida, United States	False	True	False	True	True	True	True	True	True	True	True
Saint Lucie County, Florida, United States	False	True	False	True	True	True	True	True	True	False	True
Salamanca, Castilla y Leon, Spain	False	True	False	False	False	False	False	False	False	False	False
San Benito County, California, United States	False	False	False	False	False	False	True	False	False	False	False
San Bernardino County, California, United States	False	False	False	False	False	False	True	False	False	False	False
San Diego County, California, United States	False	False	False	False	False	False	True	False	False	False	False
San Francisco County, California, United States	False	False	False	False	False	True	False	False	False	False	True
San Juan County, New Mexico, United States	False	False	False	False	True	True	True	False	True	False	False
San Luis Obispo County, California, United States	False	False	False	False	False	False	False	True	False	False	False
Sandoval County, New Mexico, United States	False	True	False	False	True	True	True	True	False	True	False
Sanmenxia City, Henan, China	False	False	False	False	True	False	False	False	False	False	False
Santa Barbara County, California, United States	False	False	False	False	False	False	False	True	False	False	False
Santa Clara County, California, United States	False	False	False	False	False	False	False	True	False	False	False
Santa Fe County, New Mexico, United States	False	False	False	True	True	True	True	True	True	False	False
Santa Rosa County, Florida, United States	True	True	False	True	False	True	True	True	True	True	False
Sanya City, Hainan, China	True	True	False	True	True	True	True	True	False	False	False
Sarasota County, Florida, United States	False	False	False	True	True	True	True	True	True	True	True
Sarpy County, Nebraska, United States	False	False	False	False	True	False	False	False	False	False	False
Seminole County, Florida, United States	False	True	False	True	True	True	True	True	True	False	False
Shangluo City, Shaanxi, China	False	False	False	True	True	True	False	True	False	False	False
Shasta County, California, United States	False	False	False	False	False	False	True	False	False	False	False
Shenyang City, Liaoning, China	False	False	False	False	False	False	True	False	False	False	False
Shenzhen City, Guangdong, China	False	False	False	False	True	False	False	True	False	False	False
Shijiazhuang City, Hebei, China	False	False	False	False	False	False	False	False	True	False	False
Sigmaringen District, Baden-Wurttemberg, Germany	False	False	False	False	False	True	False	False	False	False	False
Silver Bow County, Montana, United States	False	False	False	False	False	False	True	False	False	False	False
Simcoe, Ontario, Canada	False	False	False	False	False	True	False	False	False	False	False
Simpelveld, Limburg, Netherlands	False	False	False	False	False	True	False	False	False	False	False
Siping City, Jilin, China	False	True	False	True	True	True	True	False	False	True	False
Sittard-Geleen, Limburg, Netherlands	False	False	False	False	False	False	True	False	False	False	False
Skagit County, Washington, United States	False	False	False	True	True	True	False	True	True	False	False
Snohomish County, Washington, United States	False	False	False	True	True	True	True	True	True	True	True
Socorro County, New Mexico, United States	False	False	False	False	False	False	False	True	False	False	False
Somme, Hauts-de-France, France	False	False	False	False	False	False	True	False	False	False	False
Spotsylvania County, Virginia, United States	False	False	False	False	False	False	True	False	False	False	False
